"Objektid","Versjonsid","Startdato","Sluttdato","Sist modifisert","Fylkesnavn","Kommunenavn","Fylke","Kommune","Vegkategori","Status","Vegnummer","Hovedparsell","Fra meter","Til meter","Strekningslengde","Alternativ uhellskode","Alvorligste skadegrad","Anmeldelsesnummer","Antall alvorlig skadet","Antall drepte i ulykken","Antall enheter","Antall kjørefelt","Antall lettere skadet","Antall meget alvorlig skadet","Bebyggelse","Behandlende politidistrikt","Beskrivelse","Dekketype","Fartsgrense","Felttype","Føreforhold","Geometri, punkt","Historisk hp","Historisk kilometerverdi","Historisk vegkategori","Historisk vegnummer","Historisk vegstatus","Kilde for ulykken","Kommunenr","Lysforhold","Meldingsdato","Midtdeler","Ok SSB","Oppgitt antall skadde","PunktTilknytning","Registrering status","Registreringsdato for fagdata","Stedfestingens nøyaktighet","Stedsbeskrivelse","Stedsforhold","Temperatur","Uhell kategori","Uhellskode","Ukedag","Ulykke registrert av","Ulykkesdato","Ulykkestidspunkt","Vegbredde","Vegnavn","Vegtype","Værforhold"
"588381970","1","2015-02-24","2016-09-01","2015-03-03 10:05:19","NORDLAND","RANA","18","0","E","V","6","14","8924","","0.0","","Drept","","0","1","2","2","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Snø / isbelagt veg","POINT (484397.5 7363534.1)","14","8924","Europaveg","6","Eksisterende veg","","","Mørkt uten vegbelysning","","Nei","","","","","2015-03-03","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","4","Bilulykke","Møting på rett vegstrekning","Søndag","","2015-02-01","18:55","6.5","Eiteråga","Vanlig veg/gate","God sikt, nedbør"
"587811407","1","2015-01-29","2019-09-01","2015-04-17 16:39:17","ØSTFOLD","ASKIM","1","0","E","V","18","5","4980","","0.0","","Drept","","0","1","3","4","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","100","Vanlig kjørefelt","Våt, bar veg","POINT (287199.8 6610404.9)","5","4980","Europaveg","18","Eksisterende veg","","124","Dagslys","","Ja","","1","","","2015-02-19","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","2","Fotgjenger eller akende involvert","Fotgjenger stod stille eller oppholdt seg forøvrig i kjørebanen","Torsdag","","2015-01-29","11:50","","Sekkelsten","Motorveg","God sikt, opphold"
"591055646","1","2015-02-12","2016-09-01","2015-04-27 12:35:51","MØRE OG ROMSDAL","GJEMNES","15","0","E","V","39","28","1503","","0.0","","Drept","","1","1","3","2","3","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Glatt ellers","POINT (136202.6 7002590.8)","28","1503","Europaveg","39","Eksisterende veg","","1557","Dagslys","","Nei","","6","","","2015-04-27","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","0","Bilulykke","Uhell med uklart forløp ved kryssende kj.retn uten at noen kj.tøy svinger av","Torsdag","","2015-02-12","16:41","7.3","Bergsøya","Vanlig veg/gate","God sikt, opphold"
"587811860","1","2015-01-20","2019-09-01","2015-03-24 13:37:27","BUSKERUD","FLÅ","6","0","R","V","7","6","6744","","0.0","","Drept","","0","1","1","2","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Snø / isbelagt veg","POINT (189416.0 6712370.4)","6","6744","Riksveg","7","Eksisterende veg","","615","Mørkt uten vegbelysning","","Nei","","1","","","2015-03-24","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","-6","Bilulykke","Enslig kjøretøy kjørte utfor på høyre side i venstrekurve","Tirsdag","","2015-01-20","00:06","6.6","Austvoll","Vanlig veg/gate","Dårlig sikt, nedbør"
"590585848","1","2015-03-19","2018-09-01","2015-04-08 10:43:05","HEDMARK","TRYSIL","4","0","R","V","25","5","3271","","0.0","","Drept","","0","1","2","4","0","0","Ukjent","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Tørr, bar veg","POINT (344449.3 6781065.2)","5","3271","Riksveg","25","Eksisterende veg","","","Mørkt med vegbelysning","","Nei","","","","","2015-04-08","Nøyaktig","","3-armet kryss (T-kryss, Y-kryss)","0","Fotgjenger eller akende involvert","Fotgjenger krysset kjørebanen på bortsiden av krysset","Torsdag","","2015-03-19","19:26","6.8","v/ Tørberget","Vanlig veg/gate","God sikt, opphold"
"587811388","1","2015-01-25","2016-09-01","2015-04-09 13:10:41","ØSTFOLD","FREDRIKSTAD","1","0","R","V","110","2","10196","","0.0","","Drept","","0","1","2","2","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Våt, bar veg","POINT (265986.6 6575613.7)","2","10196","Riksveg","110","Eksisterende veg","","106","Mørkt med vegbelysning","","Nei","","2","","","2015-04-09","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","-3","Bilulykke","Møting på rett vegstrekning","Søndag","","2015-01-25","17:56","6.0","Mosseveien, Skårasletta","Vanlig veg/gate","God sikt, opphold"
"589520631","1","2015-02-22","2015-09-01","2015-03-24 13:31:28","BUSKERUD","DRAMMEN","6","0","F","V","28","1","2371","","0.0","","Drept","","1","1","1","2","0","0","Ukjent","","","Asfalt, oljegrus","50","Vanlig kjørefelt","Tørr, bar veg","POINT (227552.4 6633288.5)","1","2371","Fylkesveg","28","Eksisterende veg","","","Dagslys","","Nei","","","","","2015-03-24","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","","Bilulykke","Enslig kjøretøy kjørte utfor på venstre side i høyrekurve","Søndag","","2015-02-22","09:30","6.3","Øvre Eiker vei","Vanlig veg/gate","God sikt, opphold"
"590717567","1","2015-03-17","2016-09-01","2015-04-09 12:33:02","ØSTFOLD","HVALER","1","0","F","V","108","7","212","","0.0","","Drept","","0","1","1","2","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Tørr, bar veg","POINT (267302.0 6553963.7)","7","212","Fylkesveg","108","Eksisterende veg","","","Dagslys","","Nei","","","","","2015-04-09","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","9","Bilulykke","Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning","Tirsdag","","2015-03-17","14:24","7.3","Asmaløy, nord for krysset Skipstadsand","Vanlig veg/gate","God sikt, opphold"
"587811444","1","2015-01-28","2019-09-01","2015-03-24 15:53:17","ØSTFOLD","VÅLER","1","0","F","V","115","1","12768","","0.0","","Drept","","0","1","2","2","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Glatt ellers","POINT (270965.2 6599914.1)","1","12768","Fylkesveg","115","Eksisterende veg","","137","Mørkt uten vegbelysning","","Nei","","2","","","2015-03-24","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","3","Bilulykke","Møting i kurve","Onsdag","","2015-01-28","05:24","6.8","FV115, 400m nord for avkjr. til Svinndallinna 112","Vanlig veg/gate","God sikt, nedbør"
"587811873","1","2015-01-09","2019-09-01","2015-04-22 07:21:35","BUSKERUD","ØVRE EIKER","6","0","F","V","283","4","6364","","0.0","","Drept","","0","1","2","2","0","0","Ukjent","","","Asfalt, oljegrus","80","Vanlig kjørefelt","Våt, bar veg","POINT (215568.8 6637325.6)","4","6364","Fylkesveg","283","Eksisterende veg","","624","Dagslys","","Nei","","2","","","2015-02-17","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","","Bilulykke","Uhell med uklart forløp / uhell som ikke faller inn under noen bestemt uh.kode","Fredag","","2015-01-09","12:12","6.8","Horgenveien","Vanlig veg/gate","God sikt, opphold"
"587812724","1","2015-01-27","2016-09-01","2015-02-18 13:29:00","MØRE OG ROMSDAL","SMØLA","15","0","F","V","669","2","16102","","0.0","","Drept","","0","1","1","2","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","60","Vanlig kjørefelt","Våt, bar veg","POINT (143342.3 7052535.5)","2","16102","Fylkesveg","669","Eksisterende veg","","1573","Dagslys","","Nei","","1","","","2015-02-18","Nøyaktig","","Vegstrekning utenfor kryss/avkjørsel","5","Bilulykke","Enslig kjøretøy kjørte utfor på venstre side i venstrekurve","Tirsdag","","2015-01-27","15:40","5.3","Råket","Vanlig veg/gate","God sikt, nedbør"
