"Arbeidsledighet",,,,,
,,,,,
,,,,,
"Variabler i filter",,,,,
"Alder, 15-29 år",,,,,
"andel (prosent)",,,,,
,,,,,
"År","2009","2010","2011","2012","2013"
"Geografi","aar2009","aar2010","aar2011","aar2012","aar2013"
"Halden",3,3.3,2.8,2.7,3
"Moss",3.9,4.1,3.6,3.5,3.2
"Sarpsborg",3.3,3.7,3.7,3.9,3.9
"Fredrikstad",3.8,4,3.7,3.5,4.2
"Hvaler",1.7,2.2,1.9,1.7,1.9
"Aremark",2.5,3.4,1.7,1.3,2.3
"Marker",2,2.5,2.1,2.1,2.6
"Rømskog",0,1.9,1.9,0.9,1.1
"Trøgstad",1.9,1.9,2.3,2.3,2.3
"Spydeberg",2.2,1.3,2.2,2.5,1.5
"Askim",3.1,3.4,3.5,3.1,3
"Eidsberg",2.3,2.9,3.1,3.4,3.5
"Skiptvet",2.4,2.6,2.4,1.9,1.8
"Rakkestad",2.7,2.6,3,2.8,2.3
"Råde",1.7,1.9,2.1,2.3,2.7
"Rygge",2.8,2.7,2.2,2.2,2.3
"Våler (Østfold)",2.2,1.9,1.5,2,2
"Hobøl",2.1,3,2.3,1.8,2.1
"Vestby",2.3,2.3,2.4,2.2,2.4
"Ski",2.6,2.4,2.1,1.9,1.9
"Ås",1.6,1.7,1.7,1.5,1.5
"Frogn",1.8,1.8,1.4,1.4,1.2
"Nesodden",1.9,2.2,1.6,1.5,1.7
"Oppegård",1.8,1.8,1.4,1.6,1.7
"Bærum",1.2,1.3,1.1,1.1,1.1
"Asker",1.1,1.2,1,1.2,1.4
"Aurskog-Høland",2.3,2.8,2.4,2.4,2.5
"Sørum",2.1,2.1,2.1,2.1,2.5
"Fet",2.3,2.3,2.3,2,2.1
"Rælingen",2.4,2.9,2.6,2,2.1
"Enebakk",1.8,2.4,2,2,2.3
"Lørenskog",2.1,2.3,2.2,2,2.1
"Skedsmo",2.4,2.9,2.8,2.6,2.4
"Nittedal",1.7,1.7,1.8,1.5,1.8
"Gjerdrum",1.9,1.5,1.7,1.5,1.5
